Student Name	Institute	Program Name	Gender
Student_170	MTech	DS	Boy
Student_171	MTech	CSE	Boy
Student_172	MTech	DS	Boy
Student_173	MTech	EV	Girl
Student_174	MTech	DS	Girl
Student_175	MTech	DS	Boy
Student_176	MTech	DS	Girl
Student_177	MTech	CSE	Girl
Student_178	MTech	CSE	Girl
Student_179	MTech	CSE	Girl
Student_180	MTech	CSE	Boy
Student_181	MTech	DS	Boy
Student_182	MTech	EV	Boy
Student_183	MTech	CSE	Girl
Student_184	MTech	DS	Boy
Student_185	MTech	DS	Boy
Student_186	MTech	DS	Boy
Student_187	MTech	CSE	Girl
Student_188	MTech	EV	Boy
Student_189	MTech	EV	Girl
Student_190	MTech	DS	Girl
Student_191	MTech	CSE	Girl
Student_192	MTech	DS	Girl
Student_193	MTech	EV	Girl
Student_194	MTech	CSE	Girl
Student_195	MTech	DS	Boy
Student_196	MTech	DS	Girl
Student_197	MTech	CSE	Boy
Student_198	MTech	CSE	Boy
Student_199	MTech	CSE	Boy
Student_200	MTech	CSE	Boy
